"Author","Author Bio"
"R. S. Gwynn",
"Glenn Young",
"Jacana Media","Brian Chikwava is Zimbabwean writer and the 2004 Caine Prize for African Writing winner. Doreen Baingana, Monica Arac de Nyeko, and Parselelo Kantai were on the shortlist for the same prize. Nick Elam is the administrator for the Caine Prize for African Writing."
"Robyn Warhol-Down",
"David R. Roediger","David R. Roediger is professor of history and chair of American studies at the University of Minnesota.&nbsp;&nbsp;He is the author of The Wages of Whiteness: Race and the Making of the American Working Class and Towards the Abolition of Whiteness. Roediger lives in St. Paul, Minnesota."
"Andrew Delbanco","Andrew Delbanco is Julian Clarence Levi Professor in the Humanities at Columbia University. Among his many publications are The Puritan Ordeal and The Real American Dream: A Meditation on Hope (both from Harvard)."
"Roger D. Abrahams",
"Alice Leccese Powers","Alice Leccese Powers is the editor of the anthologies Italy in Mind, Ireland in Mind, and France in Mind, and coeditor of The Brooklyn Reader: Thirty Writers Celebrate America's Favorite Borough. A freelance writer and editor, she has been published in The Washington Post, The Baltimore Sun, Newsday, and many other newspapers and magazines. Ms. Powers also teaches writing at the Corcoran College of Art and Design. She lives in Washington, D.C., with her husband."
"Maureen Honey",
"Luis Valdez",
"Michael J. Rosen","The editor of More Mirth of a Nation: The Best Contemporary Humor, Michael J. Rosen has been called the unofficial organizer of the National Humor Writer's Union, a pretty good idea for an organization that could offer all kinds of benefits to its struggling members (currently numbering more than 300 who have never been published in The New Yorker or aired on NPR). He has been called other things as well, like in third grade, and then in seventh grade especially, by certain older kids known as ""hoods,"" who made his life miserable, specifically during gym class, lunch period and after school. Later, much later, the Washington Post called him a ""fidosopher"" because of his extensive publications on dogs, dog training, and dog-besotted people. The New York Times called him an example of creative philanthropy in their special ""Giving"" section for persuading ""writers, artists, photographers and illustrators to contribute their time and talents to books"" that benefit Share Our Strength's anti-hunger efforts and animal-welfare causes. As an author of a couple dozen books for children, he's been called...okay, enough with the calling business.For nearly twenty years, he served as literary director at the Thurber House, a cultural center in the restored home of James Thurber. Garrison Keillor, bless his heart, called it (sorry) ""the capital of American humor."" While there, Rosen helped to create The Thurber Prize for American Humor, a national book award for humor writing, and edited four anthologies of Thurber's previously unpublished and uncollected work, most recently The Dog Department: James Thurber on Hounds, Scotties and Talking Poodles, happily published by HarperCollins as well.In his capacity as editor for this biennial, Rosen reads manuscripts year round, beseeching and beleaguering the nation's most renowned and well-published authors, and fending off the rants and screeds from folks who've discovered the ease of self-publishing on the web. Last summer, Rosen edited a lovely book, 101 Damnations: The Humorists' Tour of Personal Hells; while some critics (all right, one rather outspoken friend) considered this a book of complaints, Rosen has argued that humor, like voting and picketing and returning an appliance that ""worked"" all of four months before requiring a repair that costs twice the purchase price, humor is about the desire for change. It's responding to the way things are compared to the way you'd like things to be. And it's a much more convivial response than pouting or cornering unsuspecting guests at dinner parties."
"Richard P. Horwitz","Richard P. Horwitz is professor of American studies at the University of Iowa, visiting scholar of American civilization at Brown University, and senior fellow in the Coastal Institute at the University of Rhode Island."
"Editors Of Mental Floss","Will Pearson and Mangesh Hattikudur met as first year students at Duke University. Ignoring the lures of law school and investment banking, the pair co-founded mental_floss and have been grinning ever since. Maggie Koerth-Baker is a freelance journalist and a former assistant editor at mental_floss magazine, where she consistently astounded Will and Mangesh with her amazingness."
"Nicholas Dawidoff",
"Susan Richards Shreve","SUSAN RICHARDS SHREVE has published thirteen novels, most recently A Student of Living Things. She is a professor of English at George Mason University and formerly cochair and president of the PEN/Faulkner Foundation. She has received several grants for fiction writing, including a Guggenheim fellowship and a National Endowment for the Arts award. Shreve lives in Washington, D.C."
"Joyce Appleby",
"Marilyn Ziebarth","Marilyn Ziebarth is an editor at the Minnesota Historical Society Press. Brian Horrigan is an award-winning author and an exhibit developer at the Minnesota Historical Society."
"Harry E. Crews",
"Zoe Trodd","Zoe Trodd is a member of the Tutorial Board in History and Literature, Harvard University.John Stauffer is Professor of English and American Literature and Language and Professor of African and African American Studies at Harvard University."
"Steven Biel","Steven Biel is the director of the History and Literature Program at Harvard University."
"Lee Gutkind","Lee Gutkind is the founder and editor of the literary journal Creative Nonfiction and a pioneer in the field of narrative nonfiction. Writer-in-residence at Arizona State University, Gutkind is also the editor of In Fact, the author of Almost Human, and has written books about baseball, health care, travel, and technology.Annie Dillard is a noted novelist and poet."
"Jon Meacham","Jon Meacham is managing editor of Newsweek. Born in Chattanooga in 1969, he is a graduate of The University of the South in Sewanee, Tennessee. Meacham has been a reporter for The Chattanooga Times and an editor of The Washington Monthly. He and his wife, Keith, live in New York City."
"Thomas Ruys Smith",
"Venetria Patton",
"Solomon Northup",
"Dave Eggers","Dave Eggers is the editor of McSweeney's and a cofounder of 826 National, a network of nonprofit writing and tutoring centers for youth, located in seven cities across the United States. He is the author of four books, including What Is the What and How We Are Hungry.David Sedaris is the author of six books, including When You Are Engulfed in Flames, Dress Your Family in Corduroy and Denim, and Me Talk Pretty One Day. He is a regular contributor to The New Yorker and Public Radio International's This American Life."
"Lawrence Rainey","Lawrence Rainey is Professor of English at the University of York. He is the founding editor of the journal Modernism / Modernity, and his essays and reviews have appeared in the Times Literary Supplement, the London Review of Books and The Independent. He is the author of Ezra Pound and the Monument of Culture (1991), Institutions of Modernism: Literary Elites and Public Culture (1998), and Revisiting 'The Waste Land' (2005). He has also edited The Annotated Waste Land with Eliot's Contemporary Prose (2005)."
"Lorrie Moore","Lorrie Moore is the author of the story collections Like Life and Self-Help, and the novels Who Will Run the Frog Hospital? and Anagrams. Her work has appeared in The New Yorker, The Best American Short Stories, and Prize Stories: The O. Henry Awards. She is a professor of English at the University of Wisconsin in Madison."
"Jesse Grant","Jesse Grant has edited many erotica anthologies, most recently Fast Balls: Erotic Tales of America's Favorite Pasttime."
"Kai Wright","Kai Wright is a writer and editor whose work explores the politics of sex, race, and health. He contributes to a variety of independent and community-based publications ranging from Mother Jones to Essence magazine. He is the author of Drifting Toward Love: Black, Brown, Gay and Coming of Age on the Streets of New York (Beacon Press, January 2008) and Soldiers of Freedom (Black Dog &amp; Leventhal, 2003). He lives in Brooklyn, New York."
"Toyin Falola","Toyin Falola is the Frances Higginbotham Nalle Centennial Professor in History at the University of Texas at Austin as well as a University Distinguished Teaching Professor. Fallou Ngom is the Director of the African Language Program at Boston University's African Studies Center."
"Kenneth E. Hartman","Kenneth E. Hartman has served over 29 continuous years in the California Department of Corrections and Rehabilitation on a life without the possibility of parole sentence. An award-winning writer and prison reform activist, he helped establish the Honor Program at California State Prison-Los Angeles County. He is currently leading a grassroots campaign to abolish life sentences."
"Charles Harper Webb",
"John Schilb","JOHN SCHILB (Ph.D., State University of New York — Binghamton) is a professor of English at Indiana University, Bloomington, where he holds the Culbertson Chair in Writing. He has co-edited Contending with Words: Composition and Rhetoric in a Postmodern Age and, with John Clifford, Writing Theory and Critical Theory. He is author of Between the Lines: Relating Composition Theory and Literary Theory and Rhetorical Refusals: Defying Audiences’ Expectations. JOHN CLIFFORD (Ph.D., New York University) is a professor of English at the University of North Carolina at Wilmington. Editor of The Experience of Reading: Louis Rosenblatt and Reader-Response Theory, he has published numerous scholarly articles on pedagogy, critical theory and composition theory, most recently in College English, in Relations, Locations, Positions: Composition Theory for Writing Teachers and in The Norton Book of Composition Studies."
"New Internationalist","The New Internationalist is an independent not-for-profit publishing co-operative. Our mission is to report on issues of world poverty and inequality: to focus attention on the unjust relationship between the powerful and the powerless worldwide: to debate and campaign for the radical changes necessary if the needs of all are to be met."
"James W. Pipkin","James W. Pipkin is Associate Professor of English at the University of Houston and the editor of English and German Romanticism: Cross-Currents and Controversies."
"Kim Addonizio","Kim Addonizio is the author of five poetry collections, including Tell Me, a National Book Award finalist. Her latest collection is Lucifer at the Starlite."
"Joan Holden",
"Richard G. Newman","Richard Newman is Assistant Professor of History at the Rochester Institute of Technology; Patrick Rael is Assistant Professor of History at Bowdoin College; and Phillip Lapsansky is an archivist at the Library Company of Philadelphia."
"Richard Jacobs",
"Tony Medina","Tony Medina is a poet, professor, activist, and author of ten books, including DeShawn Days, Love to Langston, and Role Call: A Generational Anthology of Social and Political Black Literature &amp; Art. Louis Reyes Rivera is a professor of Pan African, Caribbean, Puerto Rican, and African American history and literature. A noted poet and essayist, he is the recipient of more than twenty citations, including a Special Congressional Recognition Award for his work as an activist poet. Def Poetry Jam is a multimedia poetry project featuring live showcases and jams across the country, a website, and other projects aimed at bringing poetry to new audiences."
"Paula J. Carlson",
"H. Bruce Franklin",
"Mary K. DeShazer",
"Eduardo del Rio",
"The Caine The Caine Prize for African Writing",
"Richard Wright","A trailblazing African-American novelist, playwright, and memoirist, Richard A. Wright brought the experiences of the twentieth-century ghetto into the realm of high art with his blockbuster 1940 novel Native Son. He went on to mix autobiography and fiction, and to become one of the most celebrated writers -- black or white -- of his era."
"Arna Bontemps","Arna Bontemps (1902-1973), produced more than twenty-five novels, anthologies, children's books, and histories of black life, including the novel God Sends Sunday and The Story of the Negro. Bontemps's later years were spent at Fisk University as chief librarian and writer-in-residence."
"Will Eno","Will Eno's play Thom Pain (based on nothing) won the First Fringe Award with its Edinbugh Festival premiere, and had acclaimed productions in London and New York. His plays have been produced in London at the Gate Theatre, Soho Theatre Company, BBC Radio; in New York by Rude Mechanicals, NY Power Company, Naked Angels."
"William Kittredge",
"Daniel V. Overturf","Daniel Overturf is an associate professor and former chair of the Department of Cinema and Photography at Southern Illinois University Carbondale and has worked as a photographer and teacher in New Mexico, Kansas, Nevada, and Alberta, Canada. &nbsp;Gary Marx is a freelance writer and editor and an award-winning journalist now with the Kansas City Star. He has worked as a reporter, editor, and columnist at several newspapers in the Midwest."
"Jarvis Jay Masters",
"Deirdre Mullane",
"Elaine Showalter",
"David Bromwich",
"Lyn Di Iorio Sandin","Lyn Di Iorio Sandín is the author of Killing Spanish: Literary Essays on Ambivalent U.S. Latino/a Identity (Palgrave Macmillan 2004). She has recently finished her first novel called Outside the Bones, and her short fiction has been published in The Bilingual Review, The Hogtown Creek Review, and The Texas Review, among other venues. She is also the author of articles and translations. She is currently a specialist in Latino/a and Caribbean literatures at The City College of New York.Richard Perez is working towards his Ph.D. in English and American literatures at the City University of New York Graduate Center. He is currently writing his dissertation on the Specter in Post-colonial and Trans-American literature. His work has appeared in Centro: Journal of the Center for Puerto Rican Studies. Perez also writes book reviews for Tempo, the Latino section of The New York Post. He teaches at Hunter College."
"Juliette Harris","Juliette Harris (right) is the editor of International Review of African-American Art, published by Hampton University Museum in Virginia. She has also written award-winning television and film documentaries."
"Rebecca Shannonhouse","Rebecca Shannonhouse is a freelance writer and editor. Her writing has appeared in The New York Times, the San Francisco Chronicle, USA Today, and other publications. She lives in New York City."
"Craft","William Craft (1821-1900) and Ellen Craft (1826-1891) returned to the United States after the Civil War. For the rest of their lives, often at great personal risk, they worked to improve conditions for African Americans in the South. Barbara McCaskill is an associate professor of English at the University of Georgia and a founding editor of the journal Womanist Theory and Research."
"Paula Gunn Allen",
"Ilan Stavans","Ilan Stavans, editor, is the Lewis-Sebring Professor in Latin American and Latino Culture at Amherst College. His books include The Hispanic Condition and On Borrowed Words: A Memoir of Language. He edited Isaac Bashevis Singer: Collected Stories, volumes #149, #150, and #151 of The Library of America."
"Nikki Giovanni","Poet, activist, mother, and professor, Nikki Giovanni is a three-time NAACP Image Award winner and the first recipient of the Rosa Parks Woman of Courage Award, and holds the Langston Hughes Medal for Outstanding Poetry. The author of twenty-seven books and a Grammy nominee for The Nikki Giovanni Poetry Collection, she is the University Distinguished Professor/English at Virginia Tech in Blacksburg, Virginia, and an Oprah Living Legend."
"Anne P. Rice",
"Louis Reyes Rivera",
"A.L. Alexander",
"Adam Gopnik","ROBERT ATWAN has been the series editor of The Best American Essays since its inception in 1986. He has edited numerous literary anthologies and written essays and reviews for periodicals nationwide."
"Texas Bix Bender","Texas Bix Bender is the author of eighteen books, including the best-selling Don't Squat With Yer Spurs On series. He has written for television and radio shows, including Hee Haw, the Nashville Network's Tumbleweed Theater, and Riders Radio Theater. He lives in Nashville, Tennessee."
"Cary Nelson","University of Illinois at Urbana-Champaign"
"William Craft","William Craft (1821-1900) and Ellen Craft (1826-1891) returned to the United States after the Civil War. For the rest of their lives, often at great personal risk, they worked to improve conditions for African Americans in the South. Barbara McCaskill is an associate professor of English at the University of Georgia and a founding editor of the journal Womanist Theory and Research."
"Roy J. Cook",
"Norine Dresser",
"Joel Conarroe","The author of books and essays about American poetry and fiction and the editor Six American Poets, Joel Conarroe is president of the John Simon Guggenheim Memorial Foundation, which awards fellowships to artists and scholars. He has previously served as chairman of the English department and dean of arts and sciences at the University of Pennsylvania and as executive director fo the Modern Language Association. He has earned degrees from Davidson College, Cornell University, and New York University, and has been awarded honorary doctorates by several institutions."
"Terry Beers",
"Shane Weller",
"Helen Vendler","HELEN VENDLER, critic and scholar of English-language poetry from the seventeenth century to the present, is A. Kingsley Porter University Professor at Harvard University-the first woman to hold a University Professorship, the highest academic distinction Harvard bestows. She has been poetry critic of The New Yorker since 1978, and has been a member of the Pulitzer Prize jury for poetry. Author of ground-breaking scholarly studies on George Herbert, John Keats, Wallace Stevens, William Butler Yeats, Shakespeare's sonnets, and Seamus Heaney, she won the National Book Critic's Circle Award for Criticism in 1981, and her criticism has been collected in several volumes, including Part of Nature, Part of Us, The Music of What Happens, and Soul Says."
"Sandra M. Gilbert","Sandra M. Gilbert is the author of numerous volumes of criticism and poetry, as well as a memoir. She is coeditor (with Susan Gubar) of The Norton Anthology of Literature by Women. A Distinguished Professor of English emerita at the University of California, Davis, she lives in Berkeley, California.Susan Gubar (Ph.D. University of Iowa) is a Distinguished Professor at Indiana University, where she has won numerous teaching awards, most recently the Faculty Mentor Award from the Indiana University Graduate and Professional Student Organization. In addition to her critical collaboration with Sandra Gilbert, she is the author of Racechanges: White Skin, Black Face in American Culture (1997), Critical Condition: Feminism at the Turn of the Century (2000), Poetry After Auschwitz: Remembering What One Never Knew (2003), and Rooms of Our Own (2006), and editor of the first annotated edition of Woolf's A Room of One's Own (2005)."
"Kevin Killian","Kevin Killian has written a book of poetry, Argento Series, novels Shy and Arctic Summer, a memoir, Bedrooms Have Windows, and short story collections Little Men, a PEN Oakland award winner, and I Cry Like a Baby. Killian co-wrote Jack Spicer's biography, Poet Be Like God, and co-edited Spicer's The Train of Thought, The Tower of Babel, and collected poems."
"Harold Bloom","One of our most popular, respected, and controversial literary critics, Yale University professor Harold Bloom s books about, variously, Shakespeare, the Bible, and the classic literature are as erudite as they are accessible."
"William Saroyan",
"Kate Chopin",
"K. Limakatso Kendall",
"Keith Gilyard",
"Nicholas Coles","University of PittsburghRochester Institute of Technology"
"Lesley Pratt Bannatyne","One of the nation's foremost authorities on Halloween, Lesley Pratt Bannatyne has shared her vast knowledge of the holiday in television specials for Nickelodeon and the History Channel. For more than twenty years, she also has been active in the theater. She currently is co-director of Invisible Cities Group and co-artistic director of the Studebaker Theater. Ms. Bannatyne resides in Medford, Massachusetts, and has been named one of Boston's 100 Interesting Women by Boston Woman magazine."
"Essex Hemphill",
"John Brandi","John Brandi is a poet and author of In What Disappears and Heartbeat Geography. Dennis Maloney is a poet, translator,and landscape architect. His books of translation include The House In the Sand and Isla Negra by pablo Neruda, The Naked Women by Juan Ramon Jimenez, and There is No Road: Proverbs of Antonio Machado."
"Emilie Buchwald",
"Katherine V. Forrest","Katherine V. Forrest is twice winner of the Lambda Literary Award for best mystery, and has been recently honored with the Pioneer Award from the Lambda Literary Foundation. Jim Van Buskirk has been, since 1991, responsible for the development of the Jame"
"Samuel Otter","Samuel Otter is Professor of English at the University of California, Berkeley, where he has taught since 1990. He is the author of Melville's Anatomies and the coeditor, with Robert Levine, of Frederick Douglass and Herman Melville: Essays in Relation."
"William Harmon","WILLIAM HARMON is the James Gordon Hanes Professor of English at the University of North Carolina, Chapel Hill. He is the editor of The Top 500 Poems (Columbia), The Oxford Book of American Light Verse, and recent editions of A Handbook to Literature, and the author of several volumes of poetry, including winners of the Lamont Award and the William Carlos Williams Award."
"Tom Lynch","Tom Lynch is associate professor of English at the University of Nebraska–Lincoln, where he teaches ecocriticism and place-conscious literature. Currently co-editing a collection of writings about Loren Eiseley and a collection of bioregional literary criticism, he is also engaged in a comparative study of the literature of the American West and the Australian Outback from ecocritical and postcolonial perspectives.Scott Slovic, founding president of the Association for the Study of Literature and Environment, is professor of literature and environment at the University of Nevada, Reno, and is author, editor, or co-editor of fifteen books. He lives in Reno, Nevada."
"Leo Hamalian",
"Harold Schechter","Harold Schechter, editor, is a professor of American literature at Queens College, the City University of New York. He is the author of more than two dozen books and is best known for his historical true crime accounts, most recently The Devil's Gentleman: Privilege, Poison, and the Trial That Ushered in the Twentieth Century (2007). He is also the author of six novels, including a mystery series featuring Edgar Allan Poe."
"Davida Adedjouma",
"Lorenz Graham","Lorenz Graham (1902-1989) was a pioneer in African American literature. His books include South Town, North Town, and Whose Town?, a trilogy of novels that were among the first to provide an honest portrayal of the lives of African Americans. Ashley Bryan is the illustrator of more than thirty titles, many of them with texts he also wrote, retold, or selected. His books have been richly acclaimed and highly honored. Beat the Story Drum, Pum-Pum won the Coretta Scott King Award, and four more of his titles have been selected Coretta Scott King Honor Books. Mr. Bryan lives on a small island off the coast of Maine."
"Lawrence Buell","Lawrence Buell is the Powell M. Cabot Professor of American Literature at Harvard University. He is the award-winning author of many notable books, including Literary Transcendentalism, The Environmental Imagination, and Emerson."
"Washington",
"Barbara Kingsolver","Equally at home with poetry, novels, and nonfiction narratives, Barbara Kingsolver credits her careers in scientific writing and journalism with instilling in her a love of nature, a writer's discipline, and a strong sense of social justice."
"Cyril Dabydeen","Including poetry by: Meena Alexander, Agha Shahid Ali, Himani Bannerji, Mei-Mei Berssenbrugge, Sadhu Binning, Marilyn Chin, Madeline Coopsammy, Rienzi Crusz, Cyril Dabydeen, Chitra Banerjee Divakaruni, Ramabai Espinet, Lakshmi Gill, Kimiko Hahn, Garrett Hongo, Kevin Irie, Sally Ito, May Seung Jew, Surjeet Kalsey, Joy Kogawa, Mina Kumar, Carolyn Lei-Lanilau, Wing Tek Lum, Bhargavi Mandava, David Mura, Suniti Namjoshi, Michael Ondaatje, S Padmanab, Uma Parameswaran, Sasenarine Persaud, Ian Iqbal Rashid, Carol Roh-Spaulding, Gerry Shikatani, Cathy Song, Krisantha Sri Bhaggiyadatta, Suwanda Sugunasiri, Arthur Sze, Nguyen Chi Thien, Asoka Weerasinghe, Rita Wong, Jim Wong-Chu  Edited by Cyril Dabydeen"
"Edward C. Goodman","Edward C Goodman is the General&nbsp; Editor of the Avery Index to Architectural Periodicals at Columbia University. He edited Carl Sanburg's Abraham Lincoln: The Illustrated Edition and Fire!: The 100 Most Devastating Fires"
"Sapphire","Sapphire is the author of American Dreams, a collection of poetry which was cited by Publishers Weekly as, ""One of the strongest debut collections of the nineties."" Push, her novel, won the Book-of-the-Month Club Stephen Crane award for First Fiction, the Black Caucus of the American Library Association's First Novelist Award, and, in Great Britain, the Mind Book of the Year Award. Push was named by the Village Voice and Time Out New York as one of the top ten books of 1996. Push was nominated for an NAACP Image Award in the category of Outstanding Literary Work of Fiction. About her most recent book of poetry Poet's and Writer's Magazine wrote, ""With her soul on the line in each verse, her latest collection, Black Wings &amp; Blind Angels, retains Sapphire's incendiary power to win hearts and singe minds.""&nbsp;Sapphire's work has appeared in The New Yorker, The New York Times Magazine, The New York Times Book Review, The Black Scholar, Spin, and Bomb. In February of 2007 Arizona State University presented PUSHing Boundaries, PUSHing Art: A Symposium on the Works of Sapphire. Sapphire's work has been translated into eleven languages and has been adapted for stage in the United States and Europe. Precious, the film adaption of her novel, recently won the Grand Jury Prize and the Audience Awards in the U.S. dramatic competition at Sundance (2009)."
"Stewart O'Nan","In 1996, the literary magazine Granta named Stewart O'Nan one of America's best young novelists -- an honor he has continued to justify in an impressive body of complex and stylistically diverse fiction."
"Yvonne Vera","EDITORYvonne Vera was born and raised in Bulawayo, Zimbabwe, gained her Ph.D. from York University in Canada, and was the Director of the National Gallery of Zimbabwe in Bulawayo. Yvonne Vera died at age 40 in 2005Yvonne Vera’s Without a Name and Under the Tongue both won first prize in the Zimbabwe Publishers Literary Awards of 1995 and 1997 respectively. Under the Tongue won the 1997 Commonwealth Writers Prize (Africa Region). Yvonne Vera won the Swedish literary award The Voice of Africa 1999."
"Dana Gioia","Born in Los Angeles in 1950, Dana Gioia attended Stanford University and did graduate work at Harvard, where he studied with Elizabeth Bishop and Robert Fitzgerald. He left Harvard to attend Stanford Business School. For fifteen years he worked in New York for general Foods (eventually becoming a Vice President) while writing nights and weekends, In 1992 he became a full-time writer. Currently he lives in California.Gioia has published three books of poems, Daily Horoscope (1986), The Gods of Winter (1991), and Interrogations at Noon (2001), which won the American Book Award. He is also the author of Can Poetry Matter? (1992; reprinted 2002). He has edited a dozen anthologies of poetry and fiction. A prolific critic and reviewer, he is also a frequent commentator on American culture for BBC Radio. He recently completed Nosferatu (2001), an opera libretto for composer Alva Henderson.David Mason was born and raised in Bellingham, Washington, and received degrees from The Colorado College and the University of Rochester. He spent most of his twenties traveling and working as a manual laborer, with a brief stint working for a film company. He has taught at Minnesota State University, Moorhead, and is now on the faculty of The Colorado College. He lives in the mountains outside Colorado Springs.Mason’s two prize-winning books of poems are The Buried Houses (1991) and The Country I Remember (1996). With Mark Jarman he co-edited Rebel Angels: 25 Poets of the New Formalism (1996; reprinted 1998) and with the late John Frederick Nims Western Wind: An Introduction to Poetry (2000). His collection of literary essays, The Poetry of Life and the Life of Poetry, appeared in 2000. Mason is also a memoirist, fiction writer and frequent book reviewer.Meg Schoerke was raised in the Philadelphia and Chicago areas. She did undergraduate work at Northwestern University and earned M.A. M. F. A. and Ph. D. degrees from Washington University in St. Louis. Her poems and reviews have appeared in journals such as The American Scholar, TriQuarterly, and The Hudson Review. She has also published a poetry chapbook, Beyond Mourning, and contributed essays to a variety of books on twentieth century American poetry. She lives in San Francisco, where she works as an Associate Professor of English at San Francisco State University."
"Steve Berman",
"Alexander Scourby",
"Heid E. Erdrich",
"Francisco Aragón","FRANCISCO ARAG""N is director of Letras Latinas at the Institute for Latino Studies, University of Notre Dame. He is the founding editor of Momotombo Press and is the author of Puerta del Sol."
"Paul Muldoon","Paul Muldoon is the Pulitzer Prize-winning author of Moy Sand and Gravel, Hay, and The Annals of Chile, among other noteworthy poetry collections. A former Professor of Poetry at the University of Oxford, he is currently Howard G. B. Clark '21 Professor in the Humanities at Princeton University and lives in Princeton, New Jersey. David Lehman, who founded The Best American Poetry series in 1988, is the editor of The Oxford Book of American Poetry and the author of seven books of poetry, including When a Woman Loves a Man. He teaches in the graduate writing program at the New School and lives in New York City and in Ithaca, New York."
"Ed Kittrell","Ed Kittrell is a writer and editor and an avid diver. He lives in Glenview, Illinois. Casey Kittrell and Jim Kittrell are writers and licensed scuba instructors. Jim lives in Glenview, Illinois. Casey lives in Austin, Texas."
"Daniel Katz",
"Alan Kaufmann",
"Clay Felker",
"David Fillingim",
"Ann Kempner Fisher","Ann Kempner Fisher is an editor and former television writer. She lives in suburban Atlanta, Georgia."
"Amy Gerstler","David Lehman is the editor of The Oxford Book of American Poetry and the author of seven books of poetry, including When a Woman Loves a Man. He lives in New York City."
"McGraw-Hill","McGraw-Hill authors represent the leading experts in their fields and are dedicated to improving the lives, careers, and interests of readers worldwide"
"John Lane","John Lane’s writing has been published in Orion, American Whitewater, Southern Review, Terra Nova, and Fourth Genre. His books include Waist Deep in Black Water, The Woods Stretched for Miles, and Chattooga (all published by Georgia), several volumes of poetry, and Weed Time, a gathering of his essays. Lane is an associate professor of English at Wofford College."
"Woody Allen",
"Monica Arac de Nyeko","Caine Prize Judges award the Caine Prize to a work (or a short story) by an African writer published in English, whether in Africa or elsewhere. The 2008 judges included Jude Kelly, the artistic director of the Southbank Centre; Mark McMorris, a Jamaican poet and a professor of English; Hisham Matar, the Libyan author of In the Country of Men; Hannah Pool, an Eritrean-born journalist for the Guardian; and Jonty Driver, a South African poet, novelist, and lecturer."
"Patrick Allen",
"Roberto Santiago",
"Brian Swann",
"John Clifford",
"S. James Guitard","S. James Guitard is the nationally renowned author of three consecutive national best-selling books: Chocolate Thoughts, Mocha Love and Blessed Assurance. His latest book, a novel entitled Delilah s Revenge: There is Nothing More Dangerous for a Man than a Woman with a Plan, will be released June 27, 2006. His first book, Chocolate Thoughts, has consistently been rated one of the nation s best African-American books and has appeared on numerous bestseller lists. The paperback version of Chocolate Thoughts will be released May 31. 2006.  An exceptional public and motivational speaker, Mr. Guitard will be participating in book signings as well as radio and television interviews during his upcoming national book tour. In addition, Mr. Guitard is also a featured consultant author of the Anointed Author Workshop Series, a comprehensive writing and publishing workshop for aspiring and contemporary Christian authors. Mr. Guitard has written Bible commentary for Real: The New Testament by Thomas Nelson Publishers, one of the world s largest producers of Bibles.  A native of New York who now resides in the Washington, DC area, Mr. Guitard has devoted his professional career to improving the quality of education for poor and minority children as a college instructor, administrator, school teacher, Capitol Hill lobbyist, as well as an education policy specialist. Chocolate Thoughts, Mocha Love and Blessed Assurance comprise the beginning of a series of books, plays and movie scripts written by the author."
"Rodolfo Gonzales",
"James J. Gifford","James Gifford is Professor of Humanities at Mohawk Community College in Utica, New York. He is the editor of Imre: A Memorandum, by Edward Prime-Stevenson."
"Suzanne Jones","Suzanne W. Jones is a professor of American Literature and Women’s Studies at the University of Richmond. The author of a number of essays about southern literature, she is also the editor of another collection of stories, Crossing the Color Line: Readings in Black and White, and two collections of essays, South to a New Place (with Sharon Monteith) and Writing the Woman Artist."
"John Brereton",
"Kevin Concannon","Kevin Concannon is Assistant Professor of English at Texas A&amp;M University, Corpus Christi. His areas of specialty include Border Studies, Latino and Latina Studies, and 20th-Century U.S. Ethnic Literatures.Francisco Lomelí is Professor and Chair of Spanish &amp; Portuguese at the University of California at Santa Barbara. He specializes in Latin American and Chicana/o literatures, Cultural Studies, Border Studies, and Spanglish, having co-written a recent book entitled Defying the Inquisition in Colonial New Mexico: Miguel de Quintana's Life and Writings (2006).Marc Priewe is Assistant Professor of American Studies at the University of Potsdam, Germany and Author of Writing Transit: Refiguring National Imaginaries in Chicana/o Narratives (2007). His areas of specialty include Latino and Latina Studies, Cultural Studies, and Early American Literature."
"Lawrence Senelick","Laurence Senelick is Fletcher Professor of Drama and Oratory at Tufts University and a recipient of the George Jean Nathan Prize for dramatic criticism. His award-winning books include The Age and Stage of George L. Fox; The Chekhov Theatre: A Century of the Plays in Performance; and The Changing Room: Sex, Drag and Theatre. He is also a professional actor, director, and translator who has staged a number of American premieres."
"Gloria E. Anzaldua","Gloria E. Anzaldúa is a self-described tejana patlache (queer) nepantlera spiritual activist and has played a pivotal role in defining U.S. feminisms, Chicano/a issues, ethnic studies, and queer theory. Her book Borderlands/La frontera: The New Mestiza was selected as one of the 100 best books of the century by Hungry Mind Review and the Utne Reader.AnaLouise Keating is a nepantlera, spiritual activist, and associate professor of Women's Studies at Texas Women's University. She is the author of Women Reading Women Writing and has published articles on critical ""race"" theory, queer theory, and Latina and African American women writers."
"Reynolds Price",
"Nat Benchley",
"Crow","Charles L. Crow if Professor Emeritus of English at Bowling Green State University in Ohio. He is co-editor of The Haunted Dusk: American Supernatural Fiction, 1820-1920 and of The Occult in America: New Historical Perspectives, and author of numerous articles on such nineteenth-century and early twentieth-century American authors as Howells, Clemens, Norris, London and Cather. He is past-president of the Frank Norris Society and is a founding member of the International Gothic Association."
