"Title","Author Name","ISBN","Synopsis","Year","Stock"
"Through the Eye of the Deer: An Anthology of Native American Women Writers","Carolyn Dunn","9781879960589","The editors are both scholars and both are of Native American descent. They present a general introduction as well as brief introductions to each selection in this anthology of poetry, essays, and stories. The strength and range of voices heard here will intrigue and enlighten a wide audience. Annotation c. Book News, Inc., Portland, ORPublishers WeeklyEditors Dunn and Comfort (Breaking Boundaries) bring together more than 50 pieces by almost as many authors and poets in this useful but somewhat frustrating anthology of work by Native women from the U.S. and Canada. Selections span time (the earliest pieces are from Mourning Dove and Ella Cara Deloria from the 1920s and 1930s) and numerous tribal traditions throughout North America. Centering on women's experiences, the first section concerns images of birth and creation; subsequent chapters deal with marriage and family, and women's powers and mysteries. Among works from well-known women writers are the prologue from Paula Gunn Allen's The Woman Who Owned the Shadows, and poems by Joy Harjo (""Deer Dancer"" and ""Wolf Warrior""), Luci Tapahonso (""Above the Canyon Floor"") and Ines Hernandez-Avila (""Grandpa's Song for Little Bear""). Louise Erdrich is represented (in a selection from her novel Tracks), and so are Beth Brant (""Coyote Learns a New Trick"") and Leslie Silko (material from Storyteller). Such new and emerging voices as Shaunna McCovey, Cheryl Savageau and Deborah Miranda are each accorded two selections. The collection, however, seems unbalanced. Many of the pieces, particularly those from the more noted writers, have appeared elsewhere, and most of these writers are represented by one brief entry, while lesser figures are granted more space. There are also curious omissions: there is nothing by E. Pauline Johnson, whom Beth Brant has described as the mother of Native women's literature. But despite its idiosyncrasies, there is enough material here to interest those already familiar with Native American literature, and to entice the uninitiated. (Jan.) Copyright 1999 Cahners Business Information.","1999","2"
"Nineteenth-Century American Poetry","Various","9780140435870","Compiled to suggest what nineteenth-century America contributed to the history of poetry, rather than what poetry may contribute to a history of nineteenth-century America, this volume emphasizes those poets who have survived the Modernist revolution over those left behind. And so it is Whitman, Dickinson, and Melville who occupy the center of this anthology; these are the poets in whose ability to speak directly to our ears modern poetry has recognized its forebears. But only when these poetic innovators are read alongside the recognized giants of their day can we begin to see how truly extraordinary they are, and why they remained undervalued, unread, or altogether unknown in their own time. William C. Spengemann and Jessica F. Roberts have gathered nearly three hundred poems, spanning the course of the century: from Joel Barlow to Edwin Arlington Robinson, by way of Bryant, Emerson, Longfellow, Whittier, Poe, Holmes, Jones Very, Thoreau, Lowell, Lanier, and the largely forgotten Frederick Goddard Tuckerman and Sarah Morgan Piatt.","1996","1"
"Literature of the American South: A Norton Anthology","William L. Andrews","9780393316711","For nearly four centuries, the American South has been home to a vital literary tradition.Publishers WeeklyWriting from his experience as a professor of American and English literature at the University of Kentucky, Bryant has compiled here a thorough guidehe calls it a ""primer""to the literary output of 20th-century Southerners. From this premise, Bryant is able to include writers like Ralph Ellison, James Agee and William Styron who migrated north but whose works nonetheless both inform and are informed by the regional experience of the South. In more or less chronological order, Bryant leads the reader from the early plantation fiction with its idealized notions of the Old South, through the various movements centered around Vanderbilt Universitythe Fugitives, the Agrarians and the New Criticismall of which contributed greatly to the mid-century ""Southern Renaissance,"" and beyond to a broad discussion of postmodern and contemporary writers. Special attention is given to major writers such as Faulkner, Thomas Wolfe, Shelby Foote and Robert Penn Warren, whom Bryant designates as ""the supreme summary figure of the century,"" but the book also incorporates and draws connections between lesser-known writers or those whose one-time significance has since faded. Well organized with subchapters devoted to African American writers, women writers, playwrights, poets and critics, the book includes a good deal of background and biographical information. What the book offers in breadth of scope, however, it lacks in details such as quotations from the literature discussed or Bryant's own insights. Nonetheless, for the reader interested in a bird's-eye view of the major figures and trends in Southern literature, this work will be a welcome resource. (Nov.) FYI: Also due in October are Southern Writers with photos by David G. Spielman, text by William W. Starr (Univ. of S. Carolina $24.95 160p ISBN 1-57003-224-6; Oct.) and The Literature of the American South: Vol. II (Norton, $29.95 1060p ISBN 0-393-31671-8)","1997","6"
"In So Many More Words: Arguments and Adventures, Second Edition","Robert Schmuhl","9780268041342","When In So Many Words first appeared in 2006, the Chicago Tribune observed that Robert Schmuhl's collection of essays offered ""some of the sharpest and most informative cultural criticism available.""Now, In So Many More Words expands on the writings in the first edition and includes seventeen new essays written during the past four years. Schmuhl analyzes the emergence of Barack Obama and evaluates America's new political landscape in light of the 2008 election. Schmuhl also looks at contemporary media and the cultural effects created by nonstop commentary and argument.","2010","2"
"American Short Story and Its Writer: An Anthology","Ann Charters","9780312191764","This groundbreaking anthology is the first to offer a truly inclusive survey of the American short story along with a unique array of major critical statements and commentaries by the writers themselves.","1999","8"
"The American Tradition in Literature (concise) book alone","George Perkins","9780073384894","Widely known as the anthology that best unites tradition with innovation, The American Tradition in Literature is proud to enter its fifth decade of leadership among textbook anthologies of American literature.Each volume continues to offer a flexible organization, with literary merit as the guiding principle of selection. The new photos and illustrations illuminate the texts and literary/historical timelines help students put works in context.","2008","4"
"African American Literature (Penguin Academics Series)","Keith Gilyard","9780321113412","African-American Literature is thematically arranged, comprehensive survey of African-American Literature.","2004","1"
"Rag and Bone Shop of the Heart: A Poetry Anthology","Robert Bly","9780060924201","Robert Bly, James Hillman, and Michael Meade challenge the assumptions of our poetry-deprived society in this powerful collection of more than 400 deeply moving poems from renowned artists including Robert Frost, Emily Dickinson, Langston Hughes, Theodore Roethke, Rainer Maria Rilke, Marianne Moore, Thomas Wolfe, Czeslaw Milosz, and Henry David Thoreau.Publishers WeeklyIt is hard not to criticize any anthology that is so bent on having a ``purpose.'' To subsume poems under a single theme is always risky, and to enroll them in a cause detracts from their artistic nature. The poets selected here--everyone from Hesiod to Yeats, Li Po to Dickinson--are first-rate, but for that very reason their work is multi-dimensional, thus hardly about, let alone ``for,'' men. The editors have organized the book into subjects such as ``Mother and Great Mother,'' war, father, ``Wildness'' and love. Their introductions to each section too often leap from the reality of men's feelings to abstractions, Jungian archetypes and myths. As advice for reading poems, their observation that ``for men depression is sometimes the entrance to the soul'' hardly seems helpful, and as psychology it comes close to the old masculine cliche that pain is good and one should suffer one's feelings stoically. But even if the anthology is all too manly, it contains many great poems which speak to us all regardless of sex. And, like the men's movement itself, the book bespeaks a genuine interest in overhauling conventional notions about what is masculine. Bly ( Iron John ) is a poet; Hillman ( Re-Visioning Psychology ) is a psychologist; Meade is a scholar of myth. $50,000 ad/promo. (Sept.)","1993","7"
"Who's to Say What's Obscene?: Politics, Culture, and Comedy in America Today","Paul Krassner","9780872865013","Satirical essays by a countercultural icon about the moral obscenity of contemporary politics, culture, and comedy.Publishers WeeklyKrassner (Confessions of a Raving Unconfined Nut), publisher of the Realist magazine, ruminates on American social and political hypocrisy in these essays that drift between current events and the heyday of the 1960s counterculture when the author dropped acid with the Merry Pranksters and palled around with Abbie Hoffman. Krassner weighs in on the last election cycle, the decriminalization of marijuana, and racism, with a stated (and largely achieved) goal of illuminating the gulf between what society says and what it does. The essays focus mostly on other humorists, and while he points out that today ""sarcasm passes for irony,"" he's far from a curmudgeon and praises such current comics as Sacha Baron Cohen and Sarah Silverman. Krassner says, ""It doesn't have to get a belly laugh, it just has to be valid criticism, which is the classic definition of satire,"" and while this book lingers too long on nostalgic remembrances and tackles serious issues too directly to get constant laughs, it makes a convincing case for the importance-and political necessity-of irreverence. (Aug.)Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.","2009","7"
"New York Stories: The Best Writing from Four Decades of New York Magazine","Steve Fishman","9780812979923","The magazine that is the city that is the worldJust in time for its fortieth anniversary, New York magazine presents a stunning collection of some of its best and most influential articles, stories that captured the spectacle, the turbulence, and the cultural realignments of the past four decades.Covering subjects from “Radical Chic” to Gawker.com, written by some of the country’s most renowned authors, here are works that broke news, perfectly captured the moment, or set trends in motion. In New York Stories, Gloria Steinem (whose Ms. Magazine was introduced in New York) broaches the subject of women’s liberation; Tom Wolfe coins “The Me Decade”; and Steve Fishman piercingly portrays the unwanted martyrdom of the 9/11 widows. Cutting edge features that invented terms like “brat pack” and “grup”; profiles of defining cultural figures including Joe Namath, Truman Capote, and long-shot presidential candidate Bill Clinton; and reports that inspired the acclaimed movies Saturday Night Fever, GoodFellas, and Grey Gardens–all are included in this one-of-a-kind compilation.The writers who chronicled the times that began with Nixon’s campaign and end with Obama’s are at their best in New York Stories. It’s an irresistible anthology from a magazine that, like the city itself, is still making stars, setting standards, and going strong.Publishers WeeklyIn a delightful foreword, Tom Wolfe hits the ground running with a chronicle of New York Magazine's humble beginnings, as a supplement to The New York Herald Tribune, and its growth, at the hands of fearless editor Clay Felker, to rival the untouchable New Yorker. For the mag's 40th anniversary, the editors have collected some of its most memorable essays, including Mark Jacobsen's 1975 ""Night-Shifting for the Hip Fleet"" (which loosely inspired the television show Taxi, Nik Cohn's Tribal Rights of the New Saturday Night and, in turn, the film Saturday Night Fever), two Gloria Steinem essays (including her brilliant 1969 manifesto, ""After Black Power, Women's Lib""), and other articles from the likes of Jay McInerney, George Plimpton, Nora Ephron, Joe Klein, and current New York regulars Kurt Anderson and Emily Nussbaum. More recent favorites include Steve Fishman's ""The Dead Wives Club, or Char in Love,"" about a group profile of Staten Island firemen's wives widowed on 9/11, and Mark Jacobson's ""The $2,000-an-Hour Woman,"" a 2005 piece on ""America's No. 1 escort"" (whose colleague would later bring down Gov. Eliot Spitzer). Highlights abound, including Wolfe's classic 1976 ""The 'Me' Decade,"" which details the yuppy phenomenon's ""great religious wave"" of narcissistic self-discovery for ""dreary little bastards"" with money. A pleasure to read, this book will satisfy anyone wishing to reminisce about New York City and the birth of New Journalism. Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.","2008","8"
"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution","Brenda Knight","9781573241380","With fascinating biographies, over 40 rare photos, and never-before-published writing, Women of the Beat Generation captures the life and work of 40 women who broke with tradition during the uptight 50s.","1998","1"
"In Fact: The Best of Creative Nonfiction","Lee Gutkind","9780393326659","Twenty-five arresting selections from the groundbreaking journal that defined a genre.","2004","3"
"The Vintage Book of Contemporary American Poetry","J. D. McClatchy","9781400030934","Dazzling in its range, exhilarating in its immediacy and grace, this collection gathers together, from every region of the country and from the past forty years, the poems that continue to shape our imaginations. From Robert Lowell and Elizabeth Bishop, John Ashbery and Adrienne Rich, to Robert Haas and Louise Gluck, this anthology takes the full measure of our poetry's daring energies and its tender understandings.Publishers WeeklyPoetry devotees will be familiar with much of the work in this fine collection, which focuses on the period from WW II until the present. Sixty-five poets, including such well-known writers as Robert Lowell, Allen Ginsberg, Theodore Roethke, Anne Sexton, James Dickey, Denise Levertov and Gary Snyder, are represented by anywhere from one to a dozen poems each, as well as a brief biography that touches on the writer's aesthetic ideas. McClatchy, himself a poet and critic, has done an exceptional job of selecting works that typify the poets' styles and beliefs. Standouts are Elizabeth Bishop's ``In the Waiting Room,'' about the poet's first perception of herself in relation to others; Randall Jarrell's ``The Woman at the Washington Zoo,'' which deals with the dull, emotionless routine of modern life; Frank O'Hara's ``Having a Coke with You,'' a dizzy declaration of love during a visit to a New York museum; and Mark Strand's ``Keeping Things Whole,'' in which the poet sees his presence in the world as subtracting from the whole of reality. Unfortunately, the poems are not dated, giving the reader no sense of the writers' chronological development. (Nov.)","2003","0"
"In Our Own Words: Student Writers at Work","Rebecca Mlynarczyk","9780521540285","In Our Own Words takes the unique approach of using student writing as a resource for writing instruction and idea development.","2005","2"
"American Earth: Environmental Writing Since Thoreau","Bill McKibben","9781598530209","As America and the world grapple with the consequences of global environmental change, writer and activist Bill McKibben offers this unprecedented, provocative, and timely anthology, gathering the best and most significant American environmental writing from the last two centuries. Classics of the environmental imaginationthe essays of Henry David Thoreau, John Muir, and John Burroughs; Aldo Leopold's A Sand County Almanac; Rachel Carson's Silent Springare set against the inspiring story of an emerging activist movement, as revealed by newly uncovered reports of pioneering campaigns for conservation, passages from landmark legal opinions and legislation, and searing protest speeches. Here are some of America's greatest and most impassioned writers, taking a turn toward nature and recognizing the fragility of our situation on earth and the urgency of the search for a sustainable way of life. Thought-provoking essays on overpopulation, consumerism, energy policy, and the nature of “nature” join ecologists' memoirs and intimate sketches of the habitats of endangered species. The anthology includes a detailed chronology of the environmental movement and American environmental history, as well as an 80-page color portfolio of illustrations.The Washington Post - Gregory McNameeWhat truly sets the anthology apart is not the mix of the obscure and the familiar but McKibben's habit of enlisting voices whom we are not accustomed to thinking of as environmentalists or ecologists. I'd be willing to bet that this is the first work of nature writing to feature the drawings of R. Crumb, of Zap Comix fame, alongside lyrics by Marvin Gaye…Well selected, full of surprises and informed by McKibben's thoughtful commentary, American Earth is the first anthology of American nature writing to come close to the standard Thomas Lyon set two decades ago with ""This Incomperable Lande"": A Book of American Nature Writing. Ours is an incomparable land indeed, and McKibben's collection is a welcome reminder.","2008","3"
"Listening For God Reader, Vol 1","Paula J. Carlson","9780806627151","Where do you listen for God? In this new collection of stories and essays, the challenge is to pay attention everywhere. Listening for God is a resource intended to help readers investigate how life and faith merge in surprising ways and places. Contemporary American literature may not be the most predictable place to listen for God, but it may well turn out to be among the most rewarding.","1994","4"
"Black Nature","Camille T. Dungy","9780820334318","Black Nature is the first anthology to focus on nature writing by African American poets, a genre that until now has not commonly been counted as one in which African American poets have participated.Black poets have a long tradition of incorporating treatments of the natural world into their work, but it is often read as political, historical, or protest poetry—anything but nature poetry. This is particularly true when the definition of what constitutes nature writing is limited to work about the pastoral or the wild.Camille T. Dungy has selected 180 poems from 93 poets that provide unique perspectives on American social and literary history to broaden our concept of nature poetry and African American poetics. This collection features major writers such as Phillis Wheatley, Rita Dove, Yusef Komunyakaa, Gwendolyn Brooks, Sterling Brown, Robert Hayden, Wanda Coleman, Natasha Trethewey, and Melvin B. Tolson as well as newer talents such as Douglas Kearney, Major Jackson, and Janice Harrington. Included are poets writing out of slavery, Reconstruction, the Harlem Renaissance, the Black Arts Movement, and late twentieth- and early twenty-first-century African American poetic movements.Black Nature brings to the fore a neglected and vital means of considering poetry by African Americans and nature-related poetry as a whole.","2009","8"
"Thom Pain (based on nothing)","Will Eno","9780822220763","""Will Eno is a Samuel Beckett for the Jon Stewart Generation.""--The New York TimesLondon Daily TelegraphIt's hard to imagine more dazzling writing on any stage...Eno is light, rhythmic and meticulous.","2005","1"
"Off Off Broadway Festival Plays, 34th Series","Various","9780573697555","Various AuthorsOne of Manhattan's most established play festivals, the Samuel French Off Off Broadway Short Play Festival fosters the work of emerging writers, giving them the exposure of publication and representation. The festival resulting in this collection was held July 14th-19th, 2009 at The Main Stage Theatre on 42nd Street in New York City. From the initial pool of over 715 submissions, the Final Forty plays were chosen to be performed over a period of one week. A panel of judges comprised of celebrity playwrights, theatrical agents and artistic directors nominated one or more of each evening's plays as finalists. The final round was then held on the last day of the festival. Out of these plays, six winners listed below were chosen by Samuel French, Inc. to receive publication and licensing contracts. Winning plays and playwrights for this collection include: Just Knots by Christina Gorman, The Education Of Macoloco by Jen Silverman, Thucydices by Scott Elmegreen and Drew Fornarola, Drop by J. Michael DeAngelis and Pete Barry, The Student by Matt Hoverman, realer than that by Kitt Lavoie.","2010","4"
"The Hudson River Valley Reader","Edward C. Goodman","9781616823764","2009 marks the 400th Anniversary of the exploration of the Hudson River and it's valley, which was first discovered by Henry Hudson in 1609 while about the ship Half Moon. This literary anthology covers the history and literary heritage of the valley through its many lives.&nbsp;The book begins with a natural history of the valley, from it's creation, carved out my mighty glaciers between the Catskill and Berkshire mountain ranges all the way to its existing geography.&nbsp;The second part is a literary homage to the river and the valley including works by John Burroughs, Washington Irving, James Fennimore Cooper and many others.","2009","5"
"The Lost Algonquin Round Table","Nat Benchley","9781440151514","The Legendary Writers of the ""Vicious Circle""Collected Together For the First Time""The Algonquin was a refuge for the brightest authors, editors, critics, columnists, artists, financiers, composers, directors, producers and actors of the times. The dining-room corner was a hot bed of raconteurs and conversationalists.""-Harpo MarxIn Jazz Age New York City, no literary lights burned more brightly than those of the legendary Algonquin Round Table. Now between covers for the first time is a collection of writing by 16 members of the group, an all-star gathering that took 90 years to come together. Many of these pieces have never been published before; plucked from private family collections and ""lost"" pieces from obscure periodicals.● Humor pieces by Robert Benchley, Franklin P. Adams, Heywood Broun, Frank Sullivan and Donald Ogden Stewart.● Criticism from Dorothy Parker, George S. Kaufman and Robert E. Sherwood.● Short fiction by Laurence Stallings and Pulitzer Prize-winners Edna Ferber and Margaret Leech.● Journalism from Alexander Woollcott, Ruth Hale and Deems Taylor.● Poetry by Adams, Marc Connelly, Dorothy Parker and John V. A. Weaver.With a foreword by Nat Benchley.","2009","4"
"The Portable Western Reader","Various","9780140230260","The American West is as varied in its inhabitants as in its landforms. Yet what has come to stand for ""Western"" writing is the myth of the wagon train and the lone gunman. In the Portable Wester Reader, William Kittredge has assembled stories, poems, essays, and excerpts that transcend the Western myth and explore the vast range of Western experience. With selections from more than seventy authors, and an introduction and headnotes by William Kittredge. The Portable Western Reader redefines the Western literary landscape.","1997","5"
"Imagined Transnationalism: U. S. Latino/A Literature, Culture, and Identity","Kevin Concannon","9780230606326","With its focus on Latino and Latina communities in the United States, this book investigates narrative and aesthetic strategies that are employed to represent transnational experiences in literary and cultural texts. Specifically concerned with how real and imagined movements between Latin American countries and the U.S. generate diverse conceptualizations of nationalism and transnationalism, this collection explores notions of identity, citizenship, and belonging in the past, present, and future.","2009","3"
"Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America","Gloria Bird","9780393318289","""A collection of important, eloquent, and often mesmerizing writings by American Indian Women. . . . A profoundly moving statement of resilience and renewal.""—San Francisco ChronicleLibrary JournalCoeditors Harjo (The Woman Who Fell from the Sky, LJ 11/15/94) and Bird (Full Moon on the Reservation, Greenfield Review, 1994) have put together a one-of-a-kind anthology of fiction, poetry, and memoir from over 80 Native women writers representing over 50 nations. Although nationally known writers such as Louise Erdrich, Linda Hogan, and Leslie Silko are included, many others are being published here for the first time. More than a collection of literature, this work is divided into four sectionsgenesis, struggle, transformation, and returningto illuminate the writing process. Each writer introduces herself and her philosophical perspective about writing, and the willingness to share personal stories makes this a work of rare beauty, truth, and power. In addition, the anthology also highlights the writers' views on universal concerns such as violence against women, poverty, alcoholism, depression, government/Native American relations, and, especially, identity and place. Recommended for all libraries.Vicki Leslie Toy Smith, Univ. of Nevada, Reno","1998","7"
"The Best of the West: An Anthology of Classic Writing from the American West","Tony Hillerman","9780060923525","A sterling collection of classic and contemporary fiction and nonfiction evoking the unique spirit of the West and its people, selected and introduced by one of today's premier chroniclers of the Western landscape and a New York Times bestselling author.","1992","7"
"Love and Marriage in Early African America","Frances Smith Foster","9781555536770","An eye-opening anthology of nineteenth- and early-twentieth-century African American primary writings on love, courtship, and family","2007","0"
"The Norton Anthology of Poetry","Margaret Ferguson","9780393979206","Offering over one thousand years of verse from the medieval period to the present, The Norton Anthology of Poetry is the classroom standard for the study of poetry in English.","2004","9"
"Conversations with Mexican American Writers: Languages and Literatures in the Borderlands","Elisabeth Mermann-Jozwiak","9781604732146","Conversations with writers grappling with the tensions of globalization, immigration, and assimilation; features interviews with Norma Elia Cantu, Denise Chavez, Sandra Cisneros, Montserrat Fontes, Dagoberto Gilb, Diana Montejano, Pat Mora, Benjamin Alire Saenz, and Helena Maria Viramontes","2009","7"
"Three Centuries of American Poetry","Allen Mandelbaum","9780553375183","A comprehensive overview of America's vast poetic heritage, Three Centuries of American Poetry features the work of some 150 of our nation's finest writers. It includes selections from Anne Bradstreet, Ralph Waldo Emerson, Henry Wadsworth Longfellow, Emily Dickinson, Edgar Allan Poe, Walt Whitman, T. S. Eliot, Ezra Pound, William Carlos Williams, e. e. cummings, Wallace Stevens, Robert Frost, and Gertrude Stein, as well as significant works of lesser-known American poets.From the Revolutionary and Civil Wars to the Romantic Era and the Gilded and Modern Ages, this unrivaled anthology also presents a memorable array of rare ballads, songs, hymns, spirituals, and carols that echo through our nation's history. Highlights include Native American poems, African American writings, and the works of Quakers, colonists, Huguenots, transcendentalists, scholars, slaves, politicians, journalists, and clergymen.These discerning selections demonstrate that the American canon of poetry is as diverse as the nation itself, and constantly evolving as we pass through time. Most important, this collection strongly reflects the peerless stylings that mark the American poetic experience as unique. Here, in one distinguished volume, are the many voices of the New World.Library JournalIn the exceedingly brief, almost offhand introduction to this chunky anthology, the editors assert that ""there ain't no canon,"" and that their aim is to hold out ""an invitation to the reader of today and to those poets whose names we do not yet know."" Such sloppy vagaries aside, one assumes that their intent is to represent diversity of a sort, but in fact two-thirds of the volume is made up of 19th-century poetry covered far more thoroughly in the Library of America's American Poetry: The Nineteenth Century (LJ 9/1/93), and no rationale is given for the rather strange cut-off date of 1923--unless it has something to do with copyright. There are the usual heavy doses of Whitman, Dickinson, and Stevens, a smattering of spirituals, popular song lyrics, and Native American poems, along with an occasional dash of obscure names such as Ellen Sturgis Hooper and Lucretia Davidson. But given its lack of headnotes or other supporting scholarly materials, this is yet one more hastily contrived, redundant anthology no one has been waiting for. Not recommended.--Fred Muratori, Cornell University Lib., Ithaca, NY","1999","2"
"Halloween Reader: Poems, Stories, and Plays from Halloweens Past","Lesley Pratt Bannatyne","9781589801769","Spooky writing for a literary celebration.This anthology contains the works of writers from the sixteenth to the early twentieth centuries who evoke the night to set a scene, twist a plot, or explain something inexplicable, like madness or time travel. Here is Halloween as it was imagined: a joyous time for games and storytelling, a portentous time to make amends and wishes, a solemn time to remember the dead. Included are the works of Robert Burns, H. P. Lovecraft, William Butler Yeats, James Joyce, and many more.Lesley Pratt Bannatyne is also the author of Halloween: An American Holiday, an American History ($14.95 pb) and A Halloween How-To: Costumes, Parties, Decorations, and Destinations ($17.95 pb).","2004","8"
"Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime","Dylan Rodriguez","9780816645619","More than two million people are currently imprisoned in the United States, and the nation’s incarceration rate is now the highest in the world. The dramatic rise and consolidation of America’s prison system has devastated lives and communities. But it has also transformed prisons into primary sites of radical political discourse and resistance as they have become home to a growing number of writers, activists, poets, educators, and other intellectuals who offer radical critiques of American society both within and beyond the prison walls.&nbsp;In Forced Passages, Dylan Rodríguez argues that the cultural production of such imprisoned intellectuals as Mumia Abu-Jamal, Angela Davis, Leonard Peltier, George Jackson, José Solis Jordan, Ramsey Muniz, Viet Mike Ngo, and Marilyn Buck should be understood as a social and intellectual movement in and of itself, unique in context and substance. Rodríguez engages with a wide range of texts, including correspondence, memoirs, essays, poetry, communiqués, visual art, and legal writing, drawing on published works by widely recognized figures and by individuals outside the public’s field of political vision or concern. Throughout, Rodríguez focuses on the conditions under which imprisoned intellectuals live and work, and he explores how incarceration shapes the ways in which insurgent knowledge is created, disseminated, and received.&nbsp;More than a series of close readings of prison literature, Forced Passages identifies and traces the discrete lineage of radical prison thought since the 1970s, one formed by the logic of state violence and by the endemic racism of thecriminal justice system.&nbsp;Dylan Rodríguez is assistant professor of ethnic studies at the University of California, Riverside.","2006","9"
"B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage, Hope and Healing","Ann Kempner Fisher","9781581825237","They are not just statistics or case studies, nor are they “genetic mishaps.” They are everyday modern women struggling to survive breast cancer. They share the same diagnosis but are a crazy-quilt of many patterns and colors, with ages spanning twenty-five years. Some of them are wives and mothers, grandmothers, and great-grandmothers; some are single, others divorced. They have different religious backgrounds, different occupations, different lifestyles, different values, and different treatments. But despite their differences, they all are B.O.O.B.S.  B.O.O.B.S. shares the personal experiences of ten courageous women—from shocking diagnosis to surgery and beyond—and the effect breast cancer has had on them and on the people in their lives. Brought together by the Wellness Community, a program offering cost-free psychological support to cancer patients and their loved ones, the ten women in this book strongly believe in the healing power of group therapy and peer sharing. Some of them have even become patient advocates and spokeswomen in a quest to make a difference in the lives of other women coping with breast cancer, a disease that strikes more than 200,000 women every year in the United States.  Written with insight, humor, raw emotion, and honesty, B.O.O.B.S. offers hope to women facing breast cancer. It also offers families and friends insights into what their loved ones are going through.","2006","2"
"Women Writing Africa: West Africa and the Sahel","Esi Sutherland-Addy","9781558615007","A major literary and scholarly work that transforms perceptions of West African women's history and culture.Library JournalThis second of four volumes representing the literary expression of African women focuses on 12 West African nations, documenting the history of this expression since upward of six centuries before colonialism and 20th-century independence. Editors Sutherland-Addy (language, literature, &amp; drama, Inst. for African Studies, Univ. of Ghana) and Diaw (philosophy, Univ. Cheikh Anta Kiop in Dakar, Senegal) have compiled 132 texts accompanied by head notes by eminent authors (e.g., Buchi Emecheta, Ama Ata Aidoo, and Bernadette Dao Sanou) to explain their cultural and historical contexts. These texts showcase not just the written word-in the form of letters, diaries, historical documents-but the spoken word as well, in lullabies, songs, and other oral traditions. Some of these texts are full of celebration and some of powerful emotions; all evoke powerful imagery. Both the texts and the head notes are fascinating to read, and the reader is truly gripped by the passion and emotion of the writers. This anthology provides an epic tale of African history while highlighting African women's valuable contributions to their culture and bringing their voices to life for readers everywhere. Highly recommended.-Susan McClellan, Avalon P.L., Pittsburgh Copyright 2005 Reed Business Information.","2005","4"
"Tales for Little Rebels: A Collection of Radical Children's Literature","Philip Nel","9780814757215","In 1912, a revolutionary chick cries, ""Strike down the wall!"" and liberates itself from the ""egg state."" In 1940, ostriches pull their heads out of the sand and unite to fight fascism. In 1972, Baby X grows up without a gender and is happy about it.Rather than teaching children to obey authority, to conform, or to seek redemption through prayer, twentieth-century leftists encouraged children to question the authority of those in power. Tales for Little Rebels collects forty-three mostly out-of-print stories, poems, comic strips, primers, and other texts for children that embody this radical tradition. These pieces reflect the concerns of twentieth-century leftist movements, like peace, civil rights, gender equality, environmental responsibility, and the dignity of labor. They also address the means of achieving these ideals, including taking collective action, developing critical thinking skills, and harnessing the liberating power of the imagination.Some of the authors and illustrators are familiar, including Lucille Clifton, Syd Hoff, Langston Hughes, Walt Kelly, Norma Klein, Munro Leaf, Julius Lester, Eve Merriam, Charlotte Pomerantz, Carl Sandburg, and Dr. Seuss. Others are relatively unknown today, but their work deserves to be remembered. (Each of the pieces includes an introduction and a biographical sketch of the author.) From the anti-advertising message of Johnny Get Your Money’s Worth (and Jane Too)! (1938) to the entertaining lessons in ecology provided by The Day They Parachuted Cats on Borneo (1971), and Sandburg’s mockery of war in Rootabaga Pigeons (1923), these pieces will thrill readersintrigued by politics and history  and anyone with a love of children's literature, no matter what age.","2010","6"
"Loving in the War Years: Lo que nunca paso por sus labios","Cherrie Moraga","9780896086265","A new edition of Moraga's seminal work on identity, sexuality, history, and the politics of Chicana feminism.","2000","2"
"The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection","New Internationalist","9781906523145","The best in new short story fiction from Africa's leading literary award.","2009","5"
"The Best American Short Plays 2007-2008","Barbara Parisi","9781557837493","Applause is proud to continue the series that for over 60 years has been the standard of excellence for one-act plays in America. Our editor Barbara Parisi has selected the following 14 plays: A Roz by Any Other Name and Weird, by B. T. Ryback; Bricklayers Poet, by Joe Maruzzo; Laundry and Lies, by Adam Kraar; Light, by Jeni Mahoney; House of the Holy Moment, by Cary Pepper; The Disruptive, Discursive Delusions of Donald, by Michael Roderick; The Perfect Relationship, by Jill Elaine Hughes; The Hysterical Misogynist, by Murray Schisgal; The Perfect Medium, by Eileen Fischer; Outsourced, by Laura Shaine Cunningham; Elvis of Nazareth, by Jay Huling; Dead Trees, by Rick Pulos; Five Story Walkup, by Daniel Gallant, including his own play and others by John Guare, Neil LaBute, Quincy Long, Laura Shaine Cunningham, Clay McLeod Chapman, and Daniel Frederick Levin; and G.C., by Theodore Mann.","2009","3"
